#,Platforms,情報 数据分析,情報 互动管理,发布 视频,发布 图文,HP 内容,HP 频道,,,,
1,B站,https://member.bilibili.com/platform/data-up/video/,https://member.bilibili.com/platform/comment/article,https://member.bilibili.com/platform/upload/video/frame/,-,https://space.bilibili.com/314599386/upload/video,https://space.bilibili.com/314599386,-,,,
2,YouTube,https://studio.youtube.com/channel/UCbucMjzSeSynZTb4wnQt-_Q/analytics/tab-overview/period-default,https://studio.youtube.com/channel/UCbucMjzSeSynZTb4wnQt-_Q/comments/inbox?filter=%5B%7B%22isDisabled%22%3Afalse%2C%22isPinned%22%3Atrue%2C%22name%22%3A%22SORT_BY%22%2C%22value%22%3A%22SORT_BY_MOST_RELEVANT%22%7D%2C%7B%22name%22%3A%22ENGAGED_STATUS%22%2C%22value%22%3A%5B%22COMMENT_CATEGORY_NOT_ENGAGED%22%5D%7D%5D,https://studio.youtube.com/channel/UCbucMjzSeSynZTb4wnQt-_Q/videos/upload?d=ud&filter=%5B%5D&sort=%7B%22columnType%22%3A%22date%22%2C%22sortOrder%22%3A%22DESCENDING%22%7D,-,https://www.youtube.com/@Inertia_m7y3/videos,https://www.youtube.com/@Inertia_m7y3/featured,-,,,
3,抖音,https://creator.douyin.com/creator-micro/data-center/operation,https://creator.douyin.com/creator-micro/data/following/comment,https://creator.douyin.com/creator-micro/content/upload,-,https://www.douyin.com/user/self?from_tab_name=main&showTab=post,https://www.douyin.com/user/self?from_tab_name=main&showSubTab=video&showTab=post,-,,,
4,小红书,https://creator.xiaohongshu.com/statistics/account/v2,携帯で確認,https://creator.xiaohongshu.com/publish/publish?from=menu&target=video,https://creator.xiaohongshu.com/publish/publish?from=menu&target=image,https://www.xiaohongshu.com/user/profile/5de6779f0000000001002f86,https://www.xiaohongshu.com/user/profile/5de6779f0000000001002f86,-,微信公众号数据,微信公众号互动,
5,WeChat,https://channels.weixin.qq.com/platform/statistic/post,https://channels.weixin.qq.com/platform/interaction/comment,https://channels.weixin.qq.com/platform/post/create,https://mp.weixin.qq.com/cgi-bin/appmsg?begin=0&count=10&type=77&action=list_card&token=1315607839&lang=zh_CN,携帯で確認,携帯で確認,-,https://mp.weixin.qq.com/misc/appmsganalysis?action=report&type=daily_v2&token=1315607839&lang=zh_CN,https://mp.weixin.qq.com/misc/appmsgcomment?action=list_latest_comment&begin=0&count=10&sendtype=MASSSEND&scene=1&token=1315607839&lang=zh_CN,-
6,Weibo,https://me.weibo.com/data/overview,携帯で確認,-,https://www.weibo.com/u/6520826377,https://www.weibo.com/u/6520826377,https://www.weibo.com/u/6520826377,-,,,
7,TikTok,https://www.tiktok.com/tiktokstudio/analytics,https://www.tiktok.com/tiktokstudio/comment,https://www.tiktok.com/tiktokstudio/upload?from=creator_center,-,https://www.tiktok.com/@inertia_m7y3,https://www.tiktok.com/@inertia_m7y3,-,,,
8,X,https://x.com/i/jf/creators/analytics_paywall,https://x.com/notifications,-,https://x.com/compose/post,https://x.com/inertia_m7y3,https://x.com/inertia_m7y3,-,,,
9,HoYoLab,https://creator.hoyolab.com/?&bbs_theme=light&bbs_theme_device=1#/,携帯で確認,-,https://www.hoyolab.com/newArticle/1,https://www.hoyolab.com/accountCenter/postList?id=366407641,https://www.hoyolab.com/accountCenter/postList?id=366407641,-,,,
,,,,,,,,-,,,
,,,,,,,,-,,,
,,,,,,,,-,,,
,,,,,,,,-,,,
,,,,,,,,-,,,
,,,,,,,,-,,,
,,,,,,,,-,,,
,,,,,,,,-,,,
,,,,,,,,-,,,
,,,,,,,,-,,,
,,,,,,,,-,,,
,,,,,,,,-,,,
,,,,,,,,-,,,
,,,,,,,,-,,,
,,,,,,,,-,,,
,,,,,,,,-,,,
,,,,,,,,-,,,
,,,,,,,,-,,,
,,,,,,,,-,,,
,,,,,,,,-,,,
,,,,,,,,-,,,
,,,,,,,,-,,,
,,,,,,,,-,,,
,,,,,,,,-,,,
,,,,,,,,-,,,
