id,resource_type,title,url,note,source,created_at
001b830d-1555-5556-a1cd-054e4903bf1e,party_member_profile,白厄 / 白厄 资料,https://bbs.mihoyo.com/sr/wiki/content/5107/detail?bbs_presentation_style=no_header,,bbs.mihoyo.com,2026-06-19 14:29:13.611862+00
008571af-35da-5393-877d-98d65106e8df,platform_link,X - HP 内容,https://x.com/inertia_m7y3,,x.com,2026-06-19 14:29:13.611862+00
00b138af-f1d5-55fa-bd70-4bf9ec3d8fe3,character_research,遐蝶 先行研究,https://app.notion.com/p/hsr-32d5adb3775e80dabbf5d7655f3aa4c8,,app.notion.com,2026-06-19 14:29:13.611862+00
01306861-f885-55fe-b940-452da16f2869,character_profile,三月七（存护） 官方资料,https://bbs.mihoyo.com/sr/wiki/content/48/detail?bbs_presentation_style=no_header,,bbs.mihoyo.com,2026-06-19 14:29:13.611862+00
01793f04-0176-500b-84ad-d6a1476482cd,character_research,坎特蕾拉 先行研究,https://www.notion.so/ww-32d5adb3775e80fba495e58a026a6ee4,,www.notion.so,2026-06-19 14:29:13.611862+00
01c775d7-55d2-5d6d-a355-a2dbaa75a3b8,platform_link,HoYoLab - HP 频道,https://www.hoyolab.com/accountCenter/postList?id=366407641,,www.hoyolab.com,2026-06-19 14:29:13.611862+00
02379756-9145-5a77-88f8-539039e02bb9,party_reference,莱万汀 参考资料,https://www.bilibili.com/video/BV1Mr6qBHERt/?share_source=copy_web&vd_source=5729327076242969dc08142a2c93ef3f,,www.bilibili.com,2026-06-19 14:29:13.611862+00
02508385-44b2-5dd9-9949-98a7052bbf4b,game_phase_reference,原神 1.x,https://www.bilibili.com/video/BV1Dt4y1S7tG/?share_source=copy_web&vd_source=5729327076242969dc08142a2c93ef3f,,www.bilibili.com,2026-06-19 14:29:13.611862+00
03296bdd-c8e4-5514-b2e1-1a0d3965fb6d,character_profile,银狼LV.999 官方资料,https://bbs.mihoyo.com/sr/wiki/content/7044/detail?bbs_presentation_style=no_header,,bbs.mihoyo.com,2026-06-19 14:29:13.611862+00
0363bcb1-a2b0-57bd-a1e1-be2ffc91e536,character_profile,佩洛伊斯 官方资料,https://baike.mihoyo.com/zzz/wiki/content/1958/detail?mhy_presentation_style=fullscreen,,baike.mihoyo.com,2026-06-19 14:29:13.611862+00
03b63891-2d8f-535e-981d-a9fc0f270696,character_research,鉴心 先行研究,https://www.notion.so/ww-32d5adb3775e808c9912e5aa41287942,,www.notion.so,2026-06-19 14:29:13.611862+00
