id,short_code,code,title,created_at,updated_at
03e843e5-d3c9-5e07-ba6b-b94ac6fa8161,,,白银之城,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
22193a1d-3c91-5868-9d47-1a0417a9588a,,,蓝色星原旅谣,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
27d67442-c090-5416-aea8-00c33c9e8965,,,原神,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
2892f75b-aec5-53d7-bf7d-b3d529046539,鸣,WW,鸣潮,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
2fec569b-80c5-560b-b473-87099c439f62,,,虚环,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
3dbca101-a420-573f-af3f-6463ffb87bf0,,,崩壊3rd,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
59c2fdce-b751-5644-92de-0a8d9f8d8eec,,,归环,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
67689991-cacf-5c32-bd94-1582fe9052bf,,,ブルアカ,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
6d9435a8-984c-53fe-a467-257b1e9e8811,崩,HSR,崩坏星穹铁道,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
769c6024-48f1-5391-bc1e-04e08af13144,,,剑星,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
7faf1763-a36a-5a79-8757-81fff36692a7,,,1999,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
901e041e-925e-51c3-9997-8d9390275400,,,黒神話悟空,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
9d4ff4bb-c60a-54d9-aba9-280d6eb92ee0,,,无限大,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
9f05f05b-fa32-568a-a4ee-bca19331407f,,,只狼,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
aa57e96f-ced7-5674-a5a5-84750a2c5d6a,,,ウマ娘,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
af1d3eef-d0c0-5e52-bac0-bc399cf8b3cf,,,崩坏因缘精灵,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
b0c62f94-95c7-5310-a978-2be4503b0a49,,,陰陽師,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
d81251ab-312f-58ca-a1d6-7a6c9d35f98e,绝,ZZZ,绝区零,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
e4755aea-9801-51e7-a418-8972611c49c9,,,无限暖暖,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
e9fb62db-2d35-536a-b671-f204968b0b2b,异,NTE,异环,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
f9c23768-c1ad-5afd-bb58-2dd25bebc81b,终,ENF,明日方舟终末地,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
f9e1e0b7-0490-5055-895c-a9fecfde372f,,,明日方舟,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
